BillingAccountId,ChargePeriodStart,ChargePeriodEnd,ProviderName,ServiceCategory,ServiceName,ResourceId,ResourceName,ResourceType,RegionId,ConsumedQuantity,ConsumedUnit,PricingCategory,ListCost,BilledCost,EffectiveCost,BillingCurrency,Tags,x_UtilizationPct
acct-0001,2026-03-23T00:00:00Z,2026-03-24T00:00:00Z,AWS,Compute,Amazon EC2,i-0c3staging,staging-servers,m5.xlarge,us-east-1,72,Hours,On-Demand,12.2356,12.2356,12.2356,USD,"{""env"":""staging"",""team"":""web""}",17.1
acct-0001,2026-03-23T00:00:00Z,2026-03-24T00:00:00Z,AWS,Compute,Amazon EC2,i-0d4dev,dev-instances,t3.large,us-west-2,192,Hours,On-Demand,16.9432,16.9432,16.9432,USD,"{""env"":""dev"",""team"":""platform""}",3.4
acct-0001,2026-03-23T00:00:00Z,2026-03-24T00:00:00Z,AWS,Databases,Amazon RDS,db-prod-primary,prod-database,db.r5.2xlarge,us-east-1,47.04,USD,On-Demand,47.0413,47.0413,47.0413,USD,"{""env"":""prod"",""team"":""data""}",69.7
acct-0001,2026-03-23T00:00:00Z,2026-03-24T00:00:00Z,AWS,Databases,Amazon RDS,db-analytics,analytics-db,db.r5.xlarge,us-east-1,11.25,USD,On-Demand,11.2538,11.2538,11.2538,USD,"{""env"":""prod"",""team"":""data""}",18.5
acct-0001,2026-03-23T00:00:00Z,2026-03-24T00:00:00Z,AWS,Storage,Amazon S3,s3-app-data,app-data,Standard,us-east-1,481.7,GB-Month,On-Demand,9.6337,9.6337,9.6337,USD,"{""env"":""prod"",""team"":""data""}",
acct-0001,2026-03-23T00:00:00Z,2026-03-24T00:00:00Z,AWS,Storage,Amazon S3,s3-logs-archive,logs-archive,Standard,us-east-1,1728.2,GB-Month,On-Demand,34.5633,34.5633,34.5633,USD,"{""env"":""prod"",""team"":""platform""}",
acct-0001,2026-03-23T00:00:00Z,2026-03-24T00:00:00Z,AWS,Databases,Amazon ElastiCache,cache-prod,prod-cache,cache.r6g.xlarge,us-east-1,18.96,USD,On-Demand,18.9643,18.9643,18.9643,USD,"{""env"":""prod"",""team"":""api""}",45.1
acct-0001,2026-03-23T00:00:00Z,2026-03-24T00:00:00Z,AWS,Compute,AWS Lambda,fn-api,api-functions,1024 MB,us-east-1,11.87,USD,On-Demand,11.8719,11.8719,11.8719,USD,"{""env"":""prod"",""team"":""api""}",
acct-0001,2026-03-23T00:00:00Z,2026-03-24T00:00:00Z,AWS,Networking,Amazon CloudFront,cf-dist,cdn-distribution,Global,global,17.49,USD,On-Demand,17.4906,17.4906,17.4906,USD,"{""env"":""prod"",""team"":""web""}",
acct-0001,2026-03-23T00:00:00Z,2026-03-24T00:00:00Z,AWS,Networking,AWS Data Transfer,dt-out,data-transfer,Outbound,us-east-1,38.32,USD,On-Demand,38.3211,38.3211,38.3211,USD,"{""env"":""prod"",""team"":""platform""}",
acct-0001,2026-03-23T00:00:00Z,2026-03-24T00:00:00Z,Azure,Compute,Virtual Machines,vm-prod,prod-vms,Standard_D4s_v3,eastus,120,Hours,Committed,23.3220,13.9932,13.9932,USD,"{""env"":""prod"",""team"":""web""}",72.7
acct-0001,2026-03-23T00:00:00Z,2026-03-24T00:00:00Z,Azure,Compute,Azure Kubernetes Service,aks-prod,aks-cluster,Standard_D8s_v3,eastus,72,Hours,On-Demand,30.4676,30.4676,30.4676,USD,"{""env"":""prod"",""team"":""api""}",57.5
acct-0001,2026-03-23T00:00:00Z,2026-03-24T00:00:00Z,Azure,Compute,Virtual Machines,vm-staging,staging-vms,Standard_B4ms,eastus,96,Hours,On-Demand,13.2252,13.2252,13.2252,USD,"{""env"":""staging"",""team"":""web""}",18.3
acct-0001,2026-03-23T00:00:00Z,2026-03-24T00:00:00Z,Azure,Databases,Azure SQL Database,sql-primary,sql-primary,BC_Gen5_8,eastus,64.8,USD,On-Demand,64.7954,64.7954,64.7954,USD,"{""env"":""prod"",""team"":""data""}",51.9
acct-0001,2026-03-23T00:00:00Z,2026-03-24T00:00:00Z,Azure,Databases,Azure Cosmos DB,cosmos-main,cosmos-db,400 RU/s,eastus,18.24,USD,On-Demand,18.2387,18.2387,18.2387,USD,"{""env"":""prod"",""team"":""api""}",30.5
acct-0001,2026-03-23T00:00:00Z,2026-03-24T00:00:00Z,Azure,Storage,Azure Blob Storage,blob-data,blob-storage,Hot,eastus,1261.9,GB-Month,On-Demand,25.2374,25.2374,25.2374,USD,"{""env"":""prod"",""team"":""data""}",
acct-0001,2026-03-23T00:00:00Z,2026-03-24T00:00:00Z,Azure,Storage,Azure Blob Storage,blob-archive,archive-storage,Hot,eastus,1554.5,GB-Month,On-Demand,31.0903,31.0903,31.0903,USD,"{""env"":""prod"",""team"":""platform""}",
acct-0001,2026-03-23T00:00:00Z,2026-03-24T00:00:00Z,Azure,Compute,App Service,app-svc,app-service,P2v3,eastus,48,Hours,On-Demand,19.8315,19.8315,19.8315,USD,"{""env"":""prod"",""team"":""web""}",43.6
acct-0001,2026-03-23T00:00:00Z,2026-03-24T00:00:00Z,Azure,Compute,Azure Functions,func-main,functions,EP1,eastus,24,Hours,On-Demand,7.6849,7.6849,7.6849,USD,"{""env"":""prod"",""team"":""api""}",33.6
acct-0001,2026-03-23T00:00:00Z,2026-03-24T00:00:00Z,Azure,Networking,Bandwidth,bw-out,bandwidth,Outbound,eastus,27.7,USD,On-Demand,27.6960,27.6960,27.6960,USD,"{""env"":""prod"",""team"":""platform""}",
acct-0001,2026-03-23T00:00:00Z,2026-03-24T00:00:00Z,GCP,Compute,Kubernetes Engine,gke-prod,gke-cluster,n2-standard-8,us-central1,96,Hours,On-Demand,36.4085,36.4085,36.4085,USD,"{""env"":""prod"",""team"":""api""}",72.1
acct-0001,2026-03-23T00:00:00Z,2026-03-24T00:00:00Z,GCP,Compute,Compute Engine,gce-vms,compute-vms,n2-standard-4,us-central1,72,Hours,On-Demand,15.3396,15.3396,15.3396,USD,"{""env"":""prod"",""team"":""web""}",41.7
acct-0001,2026-03-23T00:00:00Z,2026-03-24T00:00:00Z,GCP,Compute,Compute Engine,gce-dev,dev-vms,e2-medium,us-central1,144,Hours,On-Demand,4.9849,4.9849,4.9849,USD,"{""env"":""dev"",""team"":""platform""}",2.6
acct-0001,2026-03-23T00:00:00Z,2026-03-24T00:00:00Z,GCP,Databases,Cloud SQL,csql-main,cloud-sql,db-custom-8-32768,us-central1,36.28,USD,On-Demand,36.2789,36.2789,36.2789,USD,"{""env"":""prod"",""team"":""data""}",58.9
acct-0001,2026-03-23T00:00:00Z,2026-03-24T00:00:00Z,GCP,Analytics,BigQuery,bq-main,bigquery,On-demand,us,20.67,USD,On-Demand,20.6674,20.6674,20.6674,USD,"{""env"":""prod"",""team"":""data""}",
acct-0001,2026-03-23T00:00:00Z,2026-03-24T00:00:00Z,GCP,Storage,Cloud Storage,gcs-data,gcs-data,Standard,us-central1,903.4,GB-Month,On-Demand,18.0687,18.0687,18.0687,USD,"{""env"":""prod"",""team"":""data""}",
acct-0001,2026-03-23T00:00:00Z,2026-03-24T00:00:00Z,GCP,Storage,Cloud Storage,gcs-archive,gcs-archive,Standard,us-central1,633.1,GB-Month,On-Demand,12.6611,12.6611,12.6611,USD,"{""env"":""prod"",""team"":""platform""}",
acct-0001,2026-03-23T00:00:00Z,2026-03-24T00:00:00Z,GCP,Compute,Cloud Run,run-svcs,cloud-run,2 vCPU,us-central1,192,Hours,On-Demand,11.8223,11.8223,11.8223,USD,"{""env"":""prod"",""team"":""api""}",27.9
acct-0001,2026-03-23T00:00:00Z,2026-03-24T00:00:00Z,GCP,Networking,Network Egress,egress,egress,Outbound,us-central1,26.79,USD,On-Demand,26.7947,26.7947,26.7947,USD,"{""env"":""prod"",""team"":""platform""}",
acct-0001,2026-03-24T00:00:00Z,2026-03-25T00:00:00Z,AWS,Compute,Amazon EC2,i-0a1prodapi,prod-api-cluster,m5.2xlarge,us-east-1,96,Hours,Committed,33.8307,20.2984,20.2984,USD,"{""env"":""prod"",""team"":""api""}",64.1
acct-0001,2026-03-24T00:00:00Z,2026-03-25T00:00:00Z,AWS,Compute,Amazon EC2,i-0b2prodweb,prod-web-asg,c5.xlarge,us-east-1,144,Hours,On-Demand,26.9411,26.9411,26.9411,USD,"{""env"":""prod"",""team"":""web""}",50.7
acct-0001,2026-03-24T00:00:00Z,2026-03-25T00:00:00Z,AWS,Compute,Amazon EC2,i-0c3staging,staging-servers,m5.xlarge,us-east-1,72,Hours,On-Demand,15.2038,15.2038,15.2038,USD,"{""env"":""staging"",""team"":""web""}",10.8
acct-0001,2026-03-24T00:00:00Z,2026-03-25T00:00:00Z,AWS,Compute,Amazon EC2,i-0d4dev,dev-instances,t3.large,us-west-2,192,Hours,On-Demand,14.5532,14.5532,14.5532,USD,"{""env"":""dev"",""team"":""platform""}",12.0
acct-0001,2026-03-24T00:00:00Z,2026-03-25T00:00:00Z,AWS,Databases,Amazon RDS,db-prod-primary,prod-database,db.r5.2xlarge,us-east-1,41.49,USD,On-Demand,41.4874,41.4874,41.4874,USD,"{""env"":""prod"",""team"":""data""}",64.8
acct-0001,2026-03-24T00:00:00Z,2026-03-25T00:00:00Z,AWS,Databases,Amazon RDS,db-analytics,analytics-db,db.r5.xlarge,us-east-1,11.77,USD,On-Demand,11.7749,11.7749,11.7749,USD,"{""env"":""prod"",""team"":""data""}",27.8
acct-0001,2026-03-24T00:00:00Z,2026-03-25T00:00:00Z,AWS,Storage,Amazon S3,s3-app-data,app-data,Standard,us-east-1,476.2,GB-Month,On-Demand,9.5232,9.5232,9.5232,USD,"{""env"":""prod"",""team"":""data""}",
acct-0001,2026-03-24T00:00:00Z,2026-03-25T00:00:00Z,AWS,Storage,Amazon S3,s3-logs-archive,logs-archive,Standard,us-east-1,1727.8,GB-Month,On-Demand,34.5552,34.5552,34.5552,USD,"{""env"":""prod"",""team"":""platform""}",
acct-0001,2026-03-24T00:00:00Z,2026-03-25T00:00:00Z,AWS,Databases,Amazon ElastiCache,cache-prod,prod-cache,cache.r6g.xlarge,us-east-1,18.43,USD,On-Demand,18.4271,18.4271,18.4271,USD,"{""env"":""prod"",""team"":""api""}",67.2
acct-0001,2026-03-24T00:00:00Z,2026-03-25T00:00:00Z,AWS,Compute,AWS Lambda,fn-api,api-functions,1024 MB,us-east-1,9.54,USD,On-Demand,9.5449,9.5449,9.5449,USD,"{""env"":""prod"",""team"":""api""}",
acct-0001,2026-03-24T00:00:00Z,2026-03-25T00:00:00Z,AWS,Networking,Amazon CloudFront,cf-dist,cdn-distribution,Global,global,13.87,USD,On-Demand,13.8728,13.8728,13.8728,USD,"{""env"":""prod"",""team"":""web""}",
acct-0001,2026-03-24T00:00:00Z,2026-03-25T00:00:00Z,AWS,Networking,AWS Data Transfer,dt-out,data-transfer,Outbound,us-east-1,38.35,USD,On-Demand,38.3486,38.3486,38.3486,USD,"{""env"":""prod"",""team"":""platform""}",
acct-0001,2026-03-24T00:00:00Z,2026-03-25T00:00:00Z,Azure,Compute,Virtual Machines,vm-prod,prod-vms,Standard_D4s_v3,eastus,120,Hours,Committed,21.2052,12.7231,12.7231,USD,"{""env"":""prod"",""team"":""web""}",71.4
acct-0001,2026-03-24T00:00:00Z,2026-03-25T00:00:00Z,Azure,Compute,Azure Kubernetes Service,aks-prod,aks-cluster,Standard_D8s_v3,eastus,72,Hours,On-Demand,34.1493,34.1493,34.1493,USD,"{""env"":""prod"",""team"":""api""}",63.2
acct-0001,2026-03-24T00:00:00Z,2026-03-25T00:00:00Z,Azure,Compute,Virtual Machines,vm-staging,staging-vms,Standard_B4ms,eastus,96,Hours,On-Demand,17.7518,17.7518,17.7518,USD,"{""env"":""staging"",""team"":""web""}",15.2
acct-0001,2026-03-24T00:00:00Z,2026-03-25T00:00:00Z,Azure,Databases,Azure SQL Database,sql-primary,sql-primary,BC_Gen5_8,eastus,75.86,USD,On-Demand,75.8641,75.8641,75.8641,USD,"{""env"":""prod"",""team"":""data""}",54.8
acct-0001,2026-03-24T00:00:00Z,2026-03-25T00:00:00Z,Azure,Databases,Azure Cosmos DB,cosmos-main,cosmos-db,400 RU/s,eastus,18.28,USD,On-Demand,18.2765,18.2765,18.2765,USD,"{""env"":""prod"",""team"":""api""}",28.0
acct-0001,2026-03-24T00:00:00Z,2026-03-25T00:00:00Z,Azure,Storage,Azure Blob Storage,blob-data,blob-storage,Hot,eastus,1247,GB-Month,On-Demand,24.9406,24.9406,24.9406,USD,"{""env"":""prod"",""team"":""data""}",
acct-0001,2026-03-24T00:00:00Z,2026-03-25T00:00:00Z,Azure,Storage,Azure Blob Storage,blob-archive,archive-storage,Hot,eastus,1572.5,GB-Month,On-Demand,31.4490,31.4490,31.4490,USD,"{""env"":""prod"",""team"":""platform""}",
acct-0001,2026-03-24T00:00:00Z,2026-03-25T00:00:00Z,Azure,Compute,App Service,app-svc,app-service,P2v3,eastus,48,Hours,On-Demand,17.3324,17.3324,17.3324,USD,"{""env"":""prod"",""team"":""web""}",50.4
acct-0001,2026-03-24T00:00:00Z,2026-03-25T00:00:00Z,Azure,Compute,Azure Functions,func-main,functions,EP1,eastus,24,Hours,On-Demand,8.0557,8.0557,8.0557,USD,"{""env"":""prod"",""team"":""api""}",14.4
acct-0001,2026-03-24T00:00:00Z,2026-03-25T00:00:00Z,Azure,Networking,Bandwidth,bw-out,bandwidth,Outbound,eastus,29.78,USD,On-Demand,29.7770,29.7770,29.7770,USD,"{""env"":""prod"",""team"":""platform""}",
acct-0001,2026-03-24T00:00:00Z,2026-03-25T00:00:00Z,GCP,Compute,Kubernetes Engine,gke-prod,gke-cluster,n2-standard-8,us-central1,96,Hours,On-Demand,35.1352,35.1352,35.1352,USD,"{""env"":""prod"",""team"":""api""}",71.7
acct-0001,2026-03-24T00:00:00Z,2026-03-25T00:00:00Z,GCP,Compute,Compute Engine,gce-vms,compute-vms,n2-standard-4,us-central1,72,Hours,On-Demand,12.5983,12.5983,12.5983,USD,"{""env"":""prod"",""team"":""web""}",41.5
acct-0001,2026-03-24T00:00:00Z,2026-03-25T00:00:00Z,GCP,Compute,Compute Engine,gce-dev,dev-vms,e2-medium,us-central1,144,Hours,On-Demand,4.6523,4.6523,4.6523,USD,"{""env"":""dev"",""team"":""platform""}",13.2
acct-0001,2026-03-24T00:00:00Z,2026-03-25T00:00:00Z,GCP,Databases,Cloud SQL,csql-main,cloud-sql,db-custom-8-32768,us-central1,37.67,USD,On-Demand,37.6701,37.6701,37.6701,USD,"{""env"":""prod"",""team"":""data""}",39.2
acct-0001,2026-03-24T00:00:00Z,2026-03-25T00:00:00Z,GCP,Analytics,BigQuery,bq-main,bigquery,On-demand,us,25.07,USD,On-Demand,25.0746,25.0746,25.0746,USD,"{""env"":""prod"",""team"":""data""}",
acct-0001,2026-03-24T00:00:00Z,2026-03-25T00:00:00Z,GCP,Storage,Cloud Storage,gcs-data,gcs-data,Standard,us-central1,910.7,GB-Month,On-Demand,18.2133,18.2133,18.2133,USD,"{""env"":""prod"",""team"":""data""}",
acct-0001,2026-03-24T00:00:00Z,2026-03-25T00:00:00Z,GCP,Storage,Cloud Storage,gcs-archive,gcs-archive,Standard,us-central1,637.5,GB-Month,On-Demand,12.7500,12.7500,12.7500,USD,"{""env"":""prod"",""team"":""platform""}",
acct-0001,2026-03-24T00:00:00Z,2026-03-25T00:00:00Z,GCP,Compute,Cloud Run,run-svcs,cloud-run,2 vCPU,us-central1,192,Hours,On-Demand,11.1958,11.1958,11.1958,USD,"{""env"":""prod"",""team"":""api""}",28.0
acct-0001,2026-03-24T00:00:00Z,2026-03-25T00:00:00Z,GCP,Networking,Network Egress,egress,egress,Outbound,us-central1,26.05,USD,On-Demand,26.0473,26.0473,26.0473,USD,"{""env"":""prod"",""team"":""platform""}",
acct-0001,2026-03-25T00:00:00Z,2026-03-26T00:00:00Z,AWS,Compute,Amazon EC2,i-0a1prodapi,prod-api-cluster,m5.2xlarge,us-east-1,96,Hours,Committed,33.9730,20.3838,20.3838,USD,"{""env"":""prod"",""team"":""api""}",73.2
acct-0001,2026-03-25T00:00:00Z,2026-03-26T00:00:00Z,AWS,Compute,Amazon EC2,i-0b2prodweb,prod-web-asg,c5.xlarge,us-east-1,144,Hours,On-Demand,22.3409,22.3409,22.3409,USD,"{""env"":""prod"",""team"":""web""}",44.5
acct-0001,2026-03-25T00:00:00Z,2026-03-26T00:00:00Z,AWS,Compute,Amazon EC2,i-0c3staging,staging-servers,m5.xlarge,us-east-1,72,Hours,On-Demand,12.7258,12.7258,12.7258,USD,"{""env"":""staging"",""team"":""web""}",17.6
acct-0001,2026-03-25T00:00:00Z,2026-03-26T00:00:00Z,AWS,Compute,Amazon EC2,i-0d4dev,dev-instances,t3.large,us-west-2,192,Hours,On-Demand,15.2511,15.2511,15.2511,USD,"{""env"":""dev"",""team"":""platform""}",19.9
acct-0001,2026-03-25T00:00:00Z,2026-03-26T00:00:00Z,AWS,Databases,Amazon RDS,db-prod-primary,prod-database,db.r5.2xlarge,us-east-1,42.15,USD,On-Demand,42.1488,42.1488,42.1488,USD,"{""env"":""prod"",""team"":""data""}",64.5
acct-0001,2026-03-25T00:00:00Z,2026-03-26T00:00:00Z,AWS,Databases,Amazon RDS,db-analytics,analytics-db,db.r5.xlarge,us-east-1,11.41,USD,On-Demand,11.4085,11.4085,11.4085,USD,"{""env"":""prod"",""team"":""data""}",34.0
acct-0001,2026-03-25T00:00:00Z,2026-03-26T00:00:00Z,AWS,Storage,Amazon S3,s3-app-data,app-data,Standard,us-east-1,474.4,GB-Month,On-Demand,9.4871,9.4871,9.4871,USD,"{""env"":""prod"",""team"":""data""}",
acct-0001,2026-03-25T00:00:00Z,2026-03-26T00:00:00Z,AWS,Storage,Amazon S3,s3-logs-archive,logs-archive,Standard,us-east-1,1763.7,GB-Month,On-Demand,35.2742,35.2742,35.2742,USD,"{""env"":""prod"",""team"":""platform""}",
acct-0001,2026-03-25T00:00:00Z,2026-03-26T00:00:00Z,AWS,Databases,Amazon ElastiCache,cache-prod,prod-cache,cache.r6g.xlarge,us-east-1,21.38,USD,On-Demand,21.3845,21.3845,21.3845,USD,"{""env"":""prod"",""team"":""api""}",50.0
acct-0001,2026-03-25T00:00:00Z,2026-03-26T00:00:00Z,AWS,Compute,AWS Lambda,fn-api,api-functions,1024 MB,us-east-1,11.08,USD,On-Demand,11.0752,11.0752,11.0752,USD,"{""env"":""prod"",""team"":""api""}",
acct-0001,2026-03-25T00:00:00Z,2026-03-26T00:00:00Z,AWS,Networking,Amazon CloudFront,cf-dist,cdn-distribution,Global,global,15.74,USD,On-Demand,15.7371,15.7371,15.7371,USD,"{""env"":""prod"",""team"":""web""}",
acct-0001,2026-03-25T00:00:00Z,2026-03-26T00:00:00Z,AWS,Networking,AWS Data Transfer,dt-out,data-transfer,Outbound,us-east-1,37.32,USD,On-Demand,37.3170,37.3170,37.3170,USD,"{""env"":""prod"",""team"":""platform""}",
